,name,total_enrollment,state,n_native,n_asian,n_black,n_hispanic,n_pacific,n_nonresident,n_total_minority,n_multiracial,n_unknown,n_white,n_women,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
1107,Mesa Community College,22711,Arizona,855,897,1409,5261,96,527,8983,465,1734,11467,11514,AZ,Public,2 Year,,2565,2565,9795,9795,,,,
1108,Mesalands Community College,793,New Mexico,22,3,10,352,0,1,387,0,101,304,313,NM,Public,2 Year,3975.0,2250,6225,3630,7605,,,,
1109,Mesivta Torah Vodaath Seminary,344,New York,0,0,0,0,0,0,0,0,0,344,0,NY,Private,4 Year,4500.0,10000,14500,10000,14500,,,,
1110,Messiah College,3234,Pennsylvania,1,63,83,116,1,90,359,95,37,2748,2011,PA,Private,4 Year,10520.0,35160,45680,35160,45680,,,,
1111,Methodist University,2461,North Carolina,20,37,454,186,5,154,785,83,280,1242,1139,NC,Private,4 Year,12890.0,33846,46736,33846,46736,45800.0,80500.0,58.0,9.0
1112,Metropolitan College of New York,1228,New York,13,29,727,243,2,42,1029,15,95,62,862,NY,Private,4 Year,,19454,19454,19454,19454,,,,
1113,Metropolitan State University,8355,Minnesota,56,1007,1499,397,9,182,3314,346,220,4639,4709,MN,Public,4 Year,,7879,7879,14980,14980,50200.0,85900.0,53.0,11.0
1114,Miami Dade College,66046,Florida,47,655,10722,44870,41,3388,56561,226,1927,4170,38323,FL,Public,2 Year,,3547,3547,12075,12075,,,,
1115,Michigan Jewish Institute,837,Michigan,0,0,0,0,0,4,0,0,0,833,763,MI,Private,4 Year,,10600,10600,10600,10600,,,,
1116,Michigan State University,50081,Michigan,127,2214,3196,1878,46,7642,8678,1217,646,33115,25767,MI,Public,4 Year,10322.0,14460,24782,39765,50087,55300.0,100800.0,46.0,20.0
1117,Michigan Technological University,7099,Michigan,33,82,95,117,8,1093,491,156,214,5301,1867,MI,Public,4 Year,10756.0,15646,26402,33726,44482,65000.0,116300.0,47.0,81.0
1118,Mid Michigan Community College,4422,Michigan,72,11,121,134,8,135,374,28,292,3621,2564,MI,Public,2 Year,,4744,4744,7080,7080,,,,
1119,Mid-America Christian University,2688,Oklahoma,105,14,743,180,10,12,1152,100,93,1431,1733,OK,Private,4 Year,8036.0,18334,26370,18334,26370,40700.0,74100.0,71.0,0.0
1120,Mid-America College of Funeral Service,58,Indiana,0,0,2,0,0,0,6,4,0,52,30,IN,Private,2 Year,,15600,15600,15600,15600,,,,
1121,Mid-Atlantic Christian University,196,North Carolina,2,3,52,3,0,3,62,2,2,129,118,NC,Private,4 Year,8600.0,14400,23000,14400,23000,,,,
1122,Mid-Plains Community College,2143,Nebraska,15,15,53,138,4,22,252,27,71,1798,1339,NE,Public,2 Year,6450.0,3210,9660,4130,10580,,,,
1123,Mid-State Technical College,2779,Wisconsin,18,79,29,47,2,0,225,50,47,2507,1635,WI,Public,2 Year,,4026,4026,6039,6039,,,,
1124,MidAmerica Nazarene University,1870,Kansas,13,28,203,104,11,2,382,23,272,1214,1197,KS,Private,4 Year,8708.0,30736,39444,30736,39444,46200.0,78500.0,60.0,1.0
1125,Middle Tennessee State University,22729,Tennessee,71,589,4407,917,22,928,6653,647,175,14973,12327,TN,Public,4 Year,9436.0,9206,18642,28364,37800,46500.0,81100.0,52.0,9.0
1126,Middlebury College,2533,Vermont,7,170,73,220,0,272,588,118,39,1634,1311,VT,Private,4 Year,15530.0,54450,69980,54450,69980,60400.0,109800.0,54.0,19.0
1127,Middlesex Community College,9205,Massachusetts,21,1051,663,1611,6,131,3532,180,67,5475,5306,CT,Public,2 Year,,4404,4404,13172,13172,,,,
1128,Middlesex Community College,9205,Massachusetts,21,1051,663,1611,6,131,3532,180,67,5475,5306,MA,Public,2 Year,,6450,6450,12630,12630,,,,
1129,Middlesex County College,12059,New Jersey,37,1513,1364,3459,94,283,6794,327,1135,3847,6411,NJ,Public,2 Year,,4410,4410,4410,4410,,,,
1130,Midland College,4618,Texas,11,105,277,2137,6,5,2608,72,129,1876,2698,TX,Public,2 Year,5224.0,2670,7894,5550,10774,,,,
1131,Midland University,1362,Nebraska,5,10,68,38,6,65,219,92,200,878,683,NE,Private,4 Year,8776.0,32558,41334,32558,41334,43800.0,78100.0,60.0,7.0
1132,Midlands Technical College,11424,South Carolina,62,256,4128,428,20,0,5203,309,288,5933,6785,SC,Public,2 Year,,5598,5598,16278,16278,,,,
1133,Midstate College,521,Illinois,3,3,114,13,0,0,148,15,1,372,399,IL,For Profit,4 Year,,10820,10820,10820,10820,,,,
1134,Midwestern State University,5874,Texas,46,151,797,870,14,518,2051,173,45,3260,3460,TX,Public,4 Year,8877.0,9019,17896,10969,19846,,,,
1135,Miles College,1782,Alabama,0,0,1732,5,1,0,1748,10,4,30,871,AL,Private,4 Year,7042.0,11604,18646,11604,18646,34800.0,65100.0,64.0,19.0
1136,Miles Community College,420,Montana,17,5,15,7,0,8,45,1,0,367,260,MT,Public,2 Year,6280.0,4230,10510,8820,15100,,,,
1137,Millersville University of Pennsylvania,8047,Pennsylvania,16,178,719,613,7,58,1709,176,40,6240,4619,PA,Public,4 Year,13658.0,12226,25884,21946,35604,,,,
1138,Milligan College,1164,Tennessee,3,15,46,52,2,32,137,19,8,987,760,TN,Private,4 Year,7100.0,33700,40800,33700,40800,41200.0,74900.0,63.0,5.0
1139,Millikin University,2190,Illinois,6,19,295,128,1,31,539,90,9,1611,1303,IL,Private,4 Year,11818.0,35102,46920,35102,46920,,,,
1140,Mills College,1542,California,8,162,135,291,7,33,730,127,78,701,1402,CA,Private,4 Year,13448.0,30257,43705,30257,43705,,,,
1141,Millsaps College,842,Mississippi,6,35,89,18,0,31,154,6,28,629,413,MS,Private,4 Year,13730.0,39910,53640,39910,53640,49300.0,88700.0,56.0,24.0
1142,Milwaukee Area Technical College,16712,Wisconsin,145,766,5042,2056,10,0,8478,459,1147,7087,9382,WI,Public,2 Year,,4515,4515,6528,6528,,,,
1143,Milwaukee Institute of Art & Design,622,Wisconsin,0,26,37,75,1,10,163,24,10,439,417,WI,Private,4 Year,9300.0,37360,46660,37360,46660,,,,
1144,Milwaukee School of Engineering,2810,Wisconsin,6,86,72,125,13,342,343,41,200,1925,676,WI,Private,4 Year,10389.0,40749,51138,40749,51138,65700.0,117600.0,50.0,69.0
1145,Mineral Area College,4632,Missouri,28,17,118,40,2,4,205,0,209,4214,2527,MO,Public,2 Year,7420.0,3670,11090,6430,13850,,,,
1146,Minneapolis College of Art and Design,783,Minnesota,7,57,31,48,0,0,143,0,194,446,514,MN,Private,4 Year,5610.0,39210,44820,39210,44820,47400.0,84700.0,39.0,0.0
1147,Minneapolis Community and Technical College,9237,Minnesota,154,547,2883,919,8,133,5246,735,145,3713,5044,MN,Public,2 Year,11058.0,5396,16454,5396,16454,,,,
1148,Minnesota West Community and Technical College,3182,Minnesota,28,82,152,194,3,3,517,58,174,2488,1824,MN,Public,2 Year,,5692,5692,5692,5692,,,,
1149,Minot State University,3410,North Dakota,52,46,167,167,13,411,545,100,94,2360,2068,ND,Public,4 Year,6610.0,7064,13674,7064,13674,44500.0,74100.0,55.0,7.0
1150,Mirrer Yeshiva Central Institute,197,New York,0,0,0,0,0,13,0,0,0,184,0,NY,Private,4 Year,6172.0,7260,13432,7260,13432,,,,
1151,Misericordia University,3054,Pennsylvania,4,33,44,77,3,7,188,27,5,2854,2104,PA,Private,4 Year,13960.0,33240,47200,33240,47200,,,,
1152,Mission College,8435,California,11,3733,326,2166,46,167,6635,353,153,1480,4643,CA,Public,2 Year,,1572,1572,9312,9312,,,,
1153,Mississippi College,4984,Mississippi,26,118,1164,124,5,390,1489,52,263,2842,2961,MS,Private,4 Year,10300.0,18026,28326,18026,28326,45200.0,79500.0,57.0,20.0
1154,Mississippi Delta Community College,2705,Mississippi,0,18,1681,42,0,0,1741,0,24,940,1658,MS,Public,2 Year,3480.0,3060,6540,4668,8148,,,,
1155,Mississippi State University,20138,Mississippi,104,263,3871,457,17,780,4985,273,164,14209,9786,MS,Public,4 Year,10090.0,8760,18850,23360,33450,51100.0,94100.0,57.0,27.0
1156,Mississippi University for Women,2696,Mississippi,6,41,987,20,2,55,1068,12,0,1573,2192,MS,Public,4 Year,7424.0,7040,14464,7040,14464,39500.0,69500.0,63.0,2.0
1157,Mississippi Valley State University,2222,Mississippi,1,13,2033,25,0,0,2072,0,80,70,1315,MS,Public,4 Year,8043.0,6570,14613,6570,14613,32500.0,61900.0,70.0,11.0
1158,Missouri Baptist University,5322,Missouri,13,50,378,98,1,43,619,79,1254,3406,3368,MO,Private,4 Year,8720.0,27124,35844,27124,35844,,,,
1159,Missouri Southern State University,5613,Missouri,164,123,341,215,3,193,887,41,220,4313,3233,MO,Public,4 Year,6865.0,6967,13832,13934,20799,,,,
1160,Missouri State University,21816,Missouri,133,308,820,692,28,1362,2594,613,404,17456,12732,MO,Public,4 Year,8755.0,7452,16207,15342,24097,,,,
1161,Missouri University of Science and Technology,8640,Missouri,30,226,290,256,14,1516,983,167,309,5832,1954,MO,Public,4 Year,10274.0,10169,20443,28499,38773,67300.0,122600.0,50.0,80.0
1162,Missouri Valley College,1695,Missouri,10,12,257,79,16,215,374,0,45,1061,740,MO,Private,4 Year,9150.0,20600,29750,20600,29750,,,,
1163,Missouri Western State University,5834,Missouri,29,74,600,60,12,118,938,163,192,4586,3391,MO,Public,4 Year,,6466,6466,14137,14137,43400.0,77700.0,53.0,14.0
1164,Mitchell College,778,Connecticut,14,16,109,90,1,9,256,26,15,498,375,CT,Private,4 Year,13000.0,33200,46200,33200,46200,,,,
1165,Mitchell Community College,3106,North Carolina,19,66,439,247,4,22,815,40,48,2221,1953,NC,Public,2 Year,,2348,2348,8108,8108,,,,
1166,Mitchell Technical Institute,1245,South Dakota,42,3,2,13,0,0,77,17,1,1167,439,SD,Public,2 Year,,6300,6300,6300,6300,,,,
1167,Moberly Area Community College,5431,Missouri,15,84,418,147,5,27,846,177,97,4461,3253,MO,Public,2 Year,7872.0,3450,11322,6840,14712,,,,
1168,Modesto Junior College,17578,California,104,1076,595,7820,195,14,10245,455,506,6813,10162,CA,Public,2 Year,,1416,1416,9156,9156,,,,
1169,Mohave Community College,4744,Arizona,100,86,66,955,26,0,1337,104,118,3289,3054,AZ,Public,2 Year,,2640,2640,8715,8715,,,,
1170,Mohawk Valley Community College,7149,New York,26,295,468,497,7,66,1470,177,162,5451,3757,NY,Public,2 Year,10470.0,5256,15726,9626,20096,,,,
1171,Molloy College,4497,New York,10,342,635,590,21,23,1635,37,72,2767,3438,NY,Private,4 Year,15032.0,31490,46522,31490,46522,,,,
1172,Monmouth College,1300,Illinois,8,19,145,171,1,49,360,16,60,831,708,IL,Private,4 Year,8966.0,37674,46640,37674,46640,,,,
1173,Monmouth University,6395,New Jersey,8,215,351,585,7,133,1293,127,266,4703,4073,NJ,Private,4 Year,13981.0,38138,52119,38138,52119,52200.0,93200.0,44.0,13.0
1174,Monroe Community College,15335,New York,53,601,3118,1311,22,131,5680,575,85,9439,8146,NY,Public,2 Year,6780.0,4986,11766,9466,16246,,,,
1175,Monroe County Community College,3482,Michigan,15,24,105,109,3,2,268,12,408,2804,1962,MI,Public,2 Year,,3965,3965,7175,7175,,,,
1176,Montana Tech of the University of Montana,2085,Montana,35,20,23,34,0,222,113,1,133,1617,677,MT,Public,4 Year,9656.0,7411,17067,22574,32230,61200.0,112600.0,64.0,61.0
1177,Montcalm Community College,1832,Michigan,11,5,7,17,2,2,70,28,150,1610,1194,MI,Public,2 Year,,4530,4530,11280,11280,,,,
1178,Montclair State University,20022,New Jersey,13,1015,1946,4447,38,552,8096,637,1742,9632,12654,NJ,Public,4 Year,15564.0,12790,28354,20578,36142,50800.0,95400.0,42.0,9.0
1179,Monterey Peninsula College,7727,California,25,616,300,2778,78,40,4198,401,229,3260,4133,CA,Public,2 Year,,1450,1450,9190,9190,,,,
1180,Montgomery Community College,863,North Carolina,6,11,140,109,0,1,272,6,0,590,527,NC,Public,2 Year,,2385,2385,8145,8145,,,,
1181,Montgomery County Community College,12805,Pennsylvania,46,692,1769,680,28,207,3544,329,1295,7759,7272,PA,Public,2 Year,,5730,5730,14970,14970,,,,
1182,Montreat College,933,North Carolina,18,12,196,18,1,40,265,20,59,569,545,NC,Private,4 Year,9149.0,26670,35819,26670,35819,,,,
1183,Montserrat College of Art,402,Massachusetts,2,6,19,26,2,4,68,13,75,255,297,MA,Private,4 Year,9900.0,33400,43300,33400,43300,,,,
1184,Moody Bible Institute,3967,Illinois,4,114,231,184,7,379,616,76,638,2334,1697,IL,Private,4 Year,11820.0,13565,25385,13565,25385,,,,
1185,Moore College of Art and Design,453,Pennsylvania,3,13,74,28,1,10,141,22,12,290,450,PA,Private,4 Year,15564.0,41728,57292,41728,57292,,,,
1186,Moorpark College,13880,California,41,1181,275,4369,34,76,6583,683,92,7129,7143,CA,Public,2 Year,,1448,1448,9248,9248,,,,
1187,Moraine Park Technical College,6280,Wisconsin,24,75,100,329,4,0,597,65,187,5496,3696,WI,Public,2 Year,,4065,4065,4065,4065,,,,
1188,Moraine Valley Community College,15286,Illinois,39,364,1382,3348,9,243,5393,251,1308,8342,8099,IL,Public,2 Year,,4356,4356,11196,11196,,,,
1189,Moravian College,1970,Pennsylvania,2,32,73,165,0,63,307,35,126,1474,1199,PA,Private,4 Year,13378.0,43636,57014,43636,57014,,,,
1190,Morehead State University,11052,Kentucky,20,41,409,162,12,141,786,142,155,9970,6694,KY,Public,4 Year,9960.0,9170,19130,13646,23606,41300.0,74900.0,56.0,9.0
1191,Morehouse College,2109,Georgia,1,1,1988,13,0,66,2007,4,35,1,1,GA,Private,4 Year,13438.0,27574,41012,27574,41012,55700.0,98700.0,58.0,26.0
1192,Moreno Valley College,8731,California,18,501,1173,5181,22,34,7270,375,69,1358,4969,CA,Public,2 Year,,1416,1416,8436,8436,,,,
1193,Morgan Community College,1837,Colorado,4,10,31,306,2,22,380,27,137,1298,1177,CO,Public,2 Year,,4645,4645,18505,18505,,,,
1194,Morgan State University,7698,Maryland,17,96,6280,244,6,500,6902,259,40,256,4304,MD,Public,4 Year,10260.0,7900,18160,18167,28427,,,,
1195,Morningside College,2823,Iowa,10,14,29,87,5,46,174,29,282,2321,1931,IA,Private,4 Year,9610.0,31530,41140,31530,41140,44900.0,82100.0,60.0,6.0
1196,Morris College,780,South Carolina,0,1,762,6,1,0,777,7,0,3,443,SC,Private,4 Year,6033.0,13886,19919,13886,19919,,,,
1197,Morrison Institute of Technology,86,Illinois,1,1,1,5,0,0,9,1,0,77,8,IL,Private,2 Year,5200.0,16100,21300,16100,21300,,,,
1198,Morton College,4653,Illinois,1,50,137,3928,8,0,4125,1,152,376,2734,IL,Public,2 Year,,4080,4080,9840,9840,,,,
1199,Motlow State Community College,4758,Tennessee,9,95,381,192,6,15,769,86,175,3799,2830,TN,Public,2 Year,,4445,4445,13211,13211,,,,
1200,Mott Community College,8937,Michigan,57,36,1577,344,8,396,2307,285,687,5547,5287,MI,Public,2 Year,,5030,5030,8657,8657,,,,
1201,Mount Aloysius College,1867,Pennsylvania,4,4,48,17,0,23,73,0,494,1277,1342,PA,Private,4 Year,10648.0,23110,33758,23110,33758,,,,
1202,Mount Carmel College of Nursing,1084,Ohio,4,15,64,20,2,0,129,24,15,940,980,OH,Private,4 Year,5000.0,13907,18907,13907,18907,56600.0,99700.0,78.0,0.0
1203,Mount Holyoke College,2255,Massachusetts,1,222,137,173,1,555,606,72,29,1065,2245,MA,Private,4 Year,14660.0,49998,64658,49998,64658,,,,
1204,Mount Ida College,1320,Massachusetts,3,32,140,144,1,90,358,38,97,775,873,MA,Private,4 Year,13680.0,35720,49400,35720,49400,,,,
1205,Mount Marty College,1236,South Dakota,29,13,34,64,5,0,145,0,2,1089,727,SD,Private,4 Year,7986.0,27276,35262,27276,35262,41400.0,76500.0,67.0,5.0
1206,Mount Mary University,1385,Wisconsin,6,68,227,135,3,5,484,45,12,884,1333,WI,Private,4 Year,8600.0,30100,38700,30100,38700,,,,
1207,Mount Mercy University,1762,Iowa,6,25,74,24,2,50,156,25,90,1466,1246,IA,Private,4 Year,9534.0,31798,41332,31798,41332,47200.0,79000.0,51.0,4.0
1208,Mount Saint Mary College,2479,New York,16,50,189,314,7,2,598,22,326,1553,1769,NY,Private,4 Year,15108.0,31118,46226,31118,46226,,,,
1209,Mount Vernon Nazarene University,2137,Ohio,3,12,114,38,3,25,182,12,184,1746,1375,OH,Private,4 Year,8170.0,29244,37414,29244,37414,,,,
1210,Mount Wachusett Community College,4336,Massachusetts,21,86,315,638,3,18,1170,107,103,3045,2789,MA,Public,2 Year,,6510,6510,12660,12660,,,,
1211,Mountain Empire Community College,2718,Virginia,5,7,52,27,0,1,117,26,7,2593,1665,VA,Public,2 Year,,4710,4710,10638,10638,,,,
1212,Mountain View College,8950,Texas,29,326,2212,5083,4,17,7735,81,235,963,5153,TX,Public,2 Year,,1770,1770,5220,5220,,,,
1213,Mt. Hood Community College,9276,Oregon,93,595,449,1029,62,26,2614,386,1179,5457,4833,OR,Public,2 Year,,5407,5407,10312,10312,,,,
1214,Mt. Sierra College,467,California,2,44,27,206,9,6,321,33,59,81,136,CA,For Profit,4 Year,,15688,15688,15688,15688,,,,
1215,Muhlenberg College,2440,Pennsylvania,4,64,74,155,0,28,333,36,240,1839,1457,PA,Private,4 Year,11765.0,52595,64360,52595,64360,53400.0,101900.0,43.0,20.0
1216,Multnomah University,753,Oregon,6,9,28,46,4,5,123,30,26,599,332,OR,Private,4 Year,8870.0,25900,34770,25900,34770,40500.0,76400.0,82.0,0.0
1217,Murray State College,2473,Oklahoma,293,8,100,178,2,162,816,235,30,1465,1693,OK,Public,2 Year,6800.0,4820,11620,10970,17770,,,,
1218,Murray State University,11207,Kentucky,22,99,776,196,6,825,1270,171,175,8937,6571,KY,Public,4 Year,9190.0,9084,18274,24540,33730,44800.0,79900.0,56.0,9.0
1219,Muskegon Community College,4640,Michigan,55,37,391,125,2,16,773,163,300,3551,2607,MI,Public,2 Year,,4515,4515,10020,10020,,,,
1220,Muskingum University,2074,Ohio,4,12,84,28,0,85,170,42,400,1419,1211,OH,Private,4 Year,11480.0,28516,39996,28516,39996,,,,
1221,Myotherapy Institute,15,Nebraska,0,0,0,2,0,0,2,0,0,13,13,NE,For Profit,2 Year,,11225,11225,11225,11225,,,,
1222,Napa Valley College,6348,California,25,895,443,2442,29,19,4169,335,144,2016,3536,CA,Public,2 Year,,1414,1414,9154,9154,,,,
1223,Naropa University,996,Colorado,6,9,14,82,0,37,191,80,76,692,685,CO,Private,4 Year,12849.0,31790,44639,31790,44639,,,,
1224,Nash Community College,3537,North Carolina,57,31,1374,170,6,27,1701,63,39,1770,2175,NC,Public,2 Year,,2900,2900,9700,9700,,,,
1225,Nashua Community College,2184,New Hampshire,8,54,63,172,4,0,352,51,115,1717,1100,NH,Public,2 Year,,7140,7140,15030,15030,,,,
1226,Nashville State Community College,10044,Tennessee,34,328,2876,485,19,88,3996,254,108,5852,6014,TN,Public,2 Year,,4395,4395,17301,17301,,,,
1227,Nassau Community College,22374,New York,56,1470,5036,5126,83,268,11774,3,1122,9210,11276,NY,Public,2 Year,,5880,5880,11230,11230,,,,
1228,National Paralegal College,1116,Arizona,9,15,98,57,7,2,193,7,439,482,941,AZ,For Profit,4 Year,,7995,7995,7995,7995,,,,
1229,National University,17608,California,101,1631,1855,4345,247,515,8908,729,892,7293,10680,CA,Private,4 Year,,16710,16710,16710,16710,,,,
1230,National University of Health Sciences,705,Illinois,2,53,61,37,1,5,173,19,18,509,412,IL,Private,4 Year,,12609,12609,12609,12609,,,,
1231,National-Louis University,4582,Illinois,11,139,1234,717,8,16,2171,62,149,2246,3657,IL,Private,4 Year,,10710,10710,10710,10710,,,,
1232,Naugatuck Valley Community College,7102,Connecticut,14,203,695,1790,8,15,2844,134,318,3925,4078,CT,Public,2 Year,,4404,4404,13172,13172,,,,
1233,Navajo Technical University,2075,New Mexico,2051,3,2,7,0,0,2066,3,4,5,1218,NM,Public,2 Year,6270.0,2360,8630,2360,8630,,,,
1234,Navarro College,9999,Texas,62,74,2109,1795,21,131,4158,97,0,5710,5904,TX,Public,2 Year,5618.0,2400,8018,5400,11018,,,,
1235,Nazarene Bible College,762,Colorado,9,6,48,51,3,0,138,21,0,624,285,CO,Private,4 Year,,14700,14700,14700,14700,33600.0,60100.0,,0.0
1236,Nebraska Christian College,136,Nebraska,0,0,7,6,1,0,14,0,0,122,61,NE,Private,4 Year,9020.0,17665,26685,17665,26685,,,,
1237,Nebraska Indian Community College,120,Nebraska,115,0,0,1,0,0,116,0,0,4,85,NE,Public,2 Year,,5125,5125,5125,5125,,,,
1238,Nebraska Wesleyan University,2083,Nebraska,6,38,60,92,2,43,228,30,110,1702,1329,NE,Private,4 Year,9622.0,34202,43824,34202,43824,45700.0,80500.0,60.0,8.0
1239,Neosho County Community College,2212,Kansas,45,26,149,83,0,166,305,2,2,1739,1413,KS,Public,2 Year,6100.0,3120,9220,3120,9220,,,,
1240,Ner Israel Rabbinical College,512,Maryland,0,0,0,0,0,28,0,0,0,484,0,MD,Private,4 Year,6600.0,12400,19000,12400,19000,,,,
1241,Neumann University,3047,Pennsylvania,4,37,619,77,1,33,788,50,588,1638,1988,PA,Private,4 Year,13020.0,31400,44420,31400,44420,,,,
1242,Nevada State College,3555,Nevada,15,370,405,790,59,0,1778,139,229,1548,2718,NV,Public,4 Year,,5438,5438,17458,17458,,,,
1243,New College of Florida,834,Florida,1,20,22,127,0,15,208,38,21,590,494,FL,Public,4 Year,9264.0,6919,16183,29944,39208,47300.0,86500.0,40.0,4.0
1244,New England College,2399,New Hampshire,11,48,411,148,0,86,638,20,158,1517,1422,NH,Private,4 Year,14222.0,37914,52136,37914,52136,45700.0,86400.0,43.0,24.0
1245,New England Conservatory of Music,782,Massachusetts,0,69,9,36,0,302,143,29,49,288,376,MA,Private,4 Year,15900.0,48750,64650,48750,64650,,,,
1246,New England Culinary Institute,422,Vermont,0,9,18,25,2,5,60,6,46,311,190,VT,For Profit,2 Year,10466.0,22210,32676,22210,32676,,,,
1247,New England Institute of Technology,2922,Rhode Island,19,51,133,283,2,107,517,29,319,1979,941,RI,Private,4 Year,13065.0,29940,43005,29940,43005,51700.0,93200.0,44.0,14.0
1248,New Hampshire Institute of Art,508,New Hampshire,7,4,8,38,5,0,76,14,88,344,354,NH,Private,4 Year,11460.0,28280,39740,28280,39740,,,,
1249,New Jersey City University,8136,New Jersey,19,660,1624,2623,0,143,5024,98,651,2318,5158,NJ,Public,4 Year,12738.0,12051,24789,21573,34311,48700.0,87600.0,55.0,9.0
1250,New Jersey Institute of Technology,10646,New Jersey,6,1901,899,1749,3,1803,4825,267,1084,2934,2665,NJ,Public,4 Year,13600.0,17338,30938,32750,46350,64600.0,121300.0,51.0,75.0
1251,New Mexico Highlands University,3546,New Mexico,233,29,163,1891,18,199,2377,43,127,843,2268,NM,Public,4 Year,7872.0,6150,14022,10302,18174,40400.0,73800.0,63.0,4.0
1252,New Mexico Institute of Mining and Technology,2127,New Mexico,54,67,46,522,2,151,762,71,23,1191,684,NM,Public,4 Year,8510.0,7770,16280,22268,30778,64700.0,120400.0,61.0,91.0
1253,New Mexico Junior College,3332,New Mexico,26,24,247,1488,6,18,1815,24,151,1348,1947,NM,Public,2 Year,4350.0,1452,5802,2196,6546,,,,
1254,New Mexico Military Institute,459,New Mexico,5,14,85,105,31,41,268,28,1,149,71,NM,Public,2 Year,5576.0,6797,12373,14469,20045,,,,
1255,New Mexico State University at Alamogordo,2095,New Mexico,75,38,93,801,6,45,1059,46,71,920,1279,NM,Public,2 Year,,2064,2064,5376,5376,,,,
1256,New Mexico State University at Carlsbad,1852,New Mexico,36,23,21,924,2,15,1031,25,77,729,1190,NM,Public,2 Year,,1376,1376,1376,1376,,,,
1257,New Mexico State University at Grants,942,New Mexico,242,9,9,370,0,4,647,17,107,184,635,NM,Public,2 Year,536.0,2064,2600,4104,4640,,,,
1258,New River Community College,4585,Virginia,12,82,246,117,7,53,581,117,32,3919,2356,VA,Public,2 Year,,4697,4697,10703,10703,,,,
1259,New River Community and Technical College,1957,West Virginia,6,19,116,8,1,0,164,14,2,1791,1225,WV,Public,2 Year,,4526,4526,7140,7140,,,,
1260,New York School of Interior Design,539,New York,0,28,17,37,0,118,92,10,117,212,472,NY,Private,4 Year,21300.0,30834,52134,30834,52134,,,,
1261,New York University,49274,New York,94,7314,2374,4267,45,11495,15342,1248,5111,17326,27153,NY,Private,4 Year,18156.0,51828,69984,51828,69984,63100.0,117700.0,42.0,18.0
1262,Newberry College,1093,South Carolina,4,7,283,48,1,41,375,32,26,651,518,SC,Private,4 Year,10666.0,26424,37090,26424,37090,41200.0,74700.0,54.0,14.0
1263,Newbury College,874,Massachusetts,1,49,313,122,0,28,518,33,0,328,498,MA,Private,4 Year,14900.0,35540,50440,35540,50440,,,,
1264,Newman University,3687,Kansas,45,180,140,362,7,84,827,93,37,2739,2406,KS,Private,4 Year,8326.0,30724,39050,30724,39050,48000.0,88500.0,66.0,11.0
1265,Niagara County Community College,6478,New York,63,79,628,203,6,20,1137,158,43,5278,3768,NY,Public,2 Year,,5027,5027,11615,11615,,,,
1266,Niagara University,4015,New York,23,69,218,149,0,467,528,69,250,2770,2497,NY,Private,4 Year,13200.0,33180,46380,33180,46380,,,,
1267,Nicholls State University,6292,Louisiana,117,70,1242,197,4,144,1806,176,120,4222,3971,LA,Public,4 Year,9938.0,7982,17920,9075,19013,44500.0,84300.0,53.0,5.0
1268,Nichols College,1495,Massachusetts,3,21,88,95,2,12,253,44,0,1230,601,MA,Private,4 Year,13950.0,34800,48750,34800,48750,,,,
1269,Nicolet Area Technical College,1139,Wisconsin,44,10,5,14,0,0,105,32,0,1034,724,WI,Public,2 Year,,4404,4404,6437,6437,,,,
1270,Norco College,9304,California,27,746,589,5240,26,37,6967,339,71,2229,4983,CA,Public,2 Year,,1416,1416,8436,8436,,,,
1271,Norfolk State University,6027,Virginia,13,55,4942,176,10,18,5397,201,256,356,3894,VA,Public,4 Year,10360.0,9490,19850,21418,31778,,,,
1272,Normandale Community College,9539,Minnesota,35,779,1294,820,16,88,3438,494,219,5794,5196,MN,Public,2 Year,,5789,5789,5789,5789,,,,
1273,North Arkansas College,1976,Arkansas,17,4,7,101,1,3,195,65,0,1778,1167,AR,Public,2 Year,,2850,2850,5790,5790,,,,
1274,North Carolina Central University,7687,North Carolina,39,96,5843,221,2,46,6468,267,291,882,5127,NC,Public,4 Year,8909.0,6348,15257,19055,27964,,,,
1275,North Carolina State University,33989,North Carolina,128,1679,2212,1392,27,3723,6399,961,957,22910,15044,NC,Public,4 Year,11078.0,9101,20179,28444,39522,,,,
1276,North Carolina Wesleyan College,1872,North Carolina,18,11,895,38,0,76,994,32,239,563,1089,NC,Private,4 Year,10800.0,31000,41800,31000,41800,45300.0,78800.0,62.0,8.0
1277,North Central College,3043,Illinois,3,66,118,276,2,56,544,79,217,2226,1676,IL,Private,4 Year,11019.0,38880,49899,38880,49899,50400.0,92900.0,45.0,9.0
1278,North Central Kansas Technical College,819,Kansas,13,6,10,15,0,0,48,4,1,770,321,KS,Public,2 Year,5815.0,3930,9745,3930,9745,,,,
1279,North Central Michigan College,2581,Michigan,109,14,15,50,6,1,242,48,154,2184,1597,MI,Public,2 Year,6300.0,3570,9870,7710,14010,,,,
1280,North Central Missouri College,1746,Missouri,6,3,33,19,0,20,61,0,32,1633,1210,MO,Public,2 Year,6055.0,3510,9565,6210,12265,,,,
1281,North Central State College,2937,Ohio,9,27,129,66,3,2,285,51,168,2482,1758,OH,Public,2 Year,,4998,4998,9020,9020,,,,
