,name,total_enrollment,state,n_native,n_asian,n_black,n_hispanic,n_pacific,n_nonresident,n_total_minority,n_multiracial,n_unknown,n_white,n_women,state_code,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent
1979,University of West Alabama,3989,Alabama,18,6,1769,59,2,141,1893,39,184,1771,2801,AL,Public,4 Year,8116.0,10040,18156,18490,26606,42700.0,76100.0,61.0,4.0
1980,University of West Florida,12602,Florida,77,362,1535,1052,39,375,3577,512,237,8413,7426,FL,Public,4 Year,9942.0,6360,16302,18628,28570,,,,
1981,University of West Georgia,12206,Georgia,17,131,4286,497,14,175,5303,358,140,6588,7878,GA,Public,4 Year,10918.0,7292,18210,20774,31692,46700.0,82700.0,51.0,9.0
1982,University of Wisconsin-Parkside,4543,Wisconsin,9,135,384,560,9,99,1262,165,20,3162,2370,WI,Public,4 Year,8026.0,7529,15555,15518,23544,46000.0,81400.0,47.0,17.0
1983,University of Wisconsin-Stout,9394,Wisconsin,28,307,156,220,14,351,880,155,74,8089,4626,WI,Public,4 Year,6924.0,9457,16381,17423,24347,50400.0,89500.0,47.0,14.0
1984,University of Wyoming,12820,Wyoming,72,171,121,749,33,862,1451,305,1001,9506,6661,WY,Public,4 Year,10320.0,5400,15720,17490,27810,52400.0,98800.0,58.0,25.0
1985,University of the Arts,1894,Pennsylvania,7,55,221,174,12,122,545,76,70,1157,1133,PA,Private,4 Year,16322.0,44780,61102,44780,61102,,,,
1986,University of the Cumberlands,5736,Kentucky,18,30,310,95,2,112,474,19,662,4488,3667,KY,Private,4 Year,9000.0,23000,32000,23000,32000,39800.0,73800.0,63.0,8.0
1987,University of the Incarnate Word,8745,Texas,26,360,679,4715,17,482,5885,88,479,1899,5347,TX,Private,4 Year,12716.0,31484,44200,31484,44200,,,,
1988,University of the Ozarks,587,Arkansas,4,1,33,86,0,36,146,22,9,396,306,AR,Private,4 Year,7400.0,24230,31630,24230,31630,42300.0,74500.0,58.0,16.0
1989,University of the Pacific,6304,California,39,2101,153,957,26,394,3520,244,272,2118,3424,CA,Private,4 Year,13650.0,48040,61690,48040,61690,,,,
1990,University of the Southwest,1009,New Mexico,21,10,242,209,4,3,486,0,179,341,659,NM,Private,4 Year,8220.0,16000,24220,16000,24220,,,,
1991,University of the West,368,California,1,74,6,66,0,172,154,7,0,42,174,CA,Private,4 Year,7764.0,15440,23204,15440,23204,,,,
1992,Valdosta State University,11563,Georgia,33,129,3858,485,14,286,4860,341,49,6368,7081,GA,Public,4 Year,8110.0,7476,15586,20958,29068,43400.0,81000.0,57.0,7.0
1993,Valencia College,43217,Florida,144,1898,7490,13965,190,871,24707,1020,4039,13600,23884,FL,Public,2 Year,,3366,3366,12828,12828,,,,
1994,Valley City State University,1378,North Dakota,12,7,43,58,2,45,159,37,18,1156,817,ND,Public,4 Year,6446.0,7626,14072,17166,23612,39900.0,68600.0,56.0,3.0
1995,Valparaiso University,4507,Indiana,15,87,283,329,1,618,806,91,153,2930,2314,IN,Private,4 Year,11860.0,40260,52120,40260,52120,53300.0,98000.0,52.0,31.0
1996,Vance-Granville Community College,4025,North Carolina,52,28,1454,261,7,28,1911,109,111,1975,2629,NC,Public,2 Year,,2409,2409,8169,8169,,,,
1997,VanderCook College of Music,176,Illinois,0,17,11,27,0,2,60,5,5,109,81,IL,Private,4 Year,13192.0,28434,41626,28434,41626,,,,
1998,Vanderbilt University,12686,Tennessee,35,966,932,810,12,1202,3211,456,620,7653,6793,TN,Private,4 Year,16234.0,49816,66050,49816,66050,65400.0,119100.0,48.0,23.0
1999,Vanguard University of Southern California,2255,California,6,103,92,778,16,13,1109,114,72,1061,1517,CA,Private,4 Year,10520.0,33700,44220,33700,44220,,,,
2000,Vassar College,2421,New York,1,265,135,273,0,188,812,138,3,1418,1356,NY,Private,4 Year,13550.0,56960,70510,56960,70510,,,,
2001,Vaughn College of Aeronautics and Technology,1614,New York,8,185,351,605,55,33,1279,75,85,217,213,NY,Private,4 Year,14550.0,25710,40260,25710,40260,,,,
2002,Ventura College,12928,California,59,608,307,7324,28,21,8789,463,233,3885,7128,CA,Public,2 Year,,1418,1418,9218,9218,,,,
2003,Vermilion Community College,712,Minnesota,9,3,48,16,0,1,109,33,5,597,243,MN,Public,2 Year,6290.0,5324,11614,6506,12796,,,,
2004,Vermont Technical College,1542,Vermont,11,18,23,23,0,36,111,36,20,1375,716,VT,Public,4 Year,10598.0,15108,25706,27780,38378,52400.0,93900.0,41.0,4.0
2005,Vernon College,2989,Texas,27,54,260,559,4,0,992,88,52,1945,1914,TX,Public,2 Year,4096.0,3000,7096,6300,10396,,,,
2006,Victor Valley College,11557,California,38,256,1434,5595,36,6,7895,536,100,3556,6592,CA,Public,2 Year,5418.0,1402,6820,9142,14560,,,,
2007,Victoria College,4146,Texas,13,57,221,1825,2,1,2173,55,19,1953,2709,TX,Public,2 Year,,2790,2790,5040,5040,,,,
2008,Villa Maria College of Buffalo,477,New York,2,6,121,31,1,0,184,23,6,287,324,NY,Private,4 Year,,22600,22600,22600,22600,,,,
